"Country Name","Country Code","gdp_1990","gdp_2015","im_1990","im_2015"
"Sweden","SWE","20096.1865746616","47823.2979748888","5.9","2.4"
"Switzerland","CHE","27523.764398118","62499.6371581513","6.7","3.6"
"Tajikistan","TJK","2355.66865523634","2811.51371422462","84.1","38.3"
"Tanzania","TZA","951.779533140068","2652.19565474174","107.7","41.5"
"Thailand","THA","4298.39893960415","16222.97175206","30.9","10.8"
"Togo","TGO","872.635745990101","1438.24835858053","89.4","52.1"
"Tonga","TON","2310.12077125258","5524.73679187774","18.6","14.4"
"Trinidad and Tobago","TTO","7921.0789249332","33308.4224508557","26.4","17"
"Tunisia","TUN","3629.12019998381","11445.6928088012","44.2","12.1"
"Turkey","TUR","6141.08041123204","24054.1777533142","55.6","11.7"
"Turkmenistan","TKM","5375.3948276821","15962.7695996189","69.5","44.7"
"Tuvalu","TUV","1531.51646555871","3538.94518373201","44.2","22.1"
"Uganda","UGA","505.460979991516","1802.08620561339","104.4","39.2"
"Ukraine","UKR","6763.20305813102","7948.14209569081","16.6","8.1"
"United Arab Emirates","ARE","71786.1128303808","70245.9325004669","14.2","6.7"
"United Kingdom","GBR","16739.1467649314","41767.2896455746","7.9","3.7"
"United States","USA","23954.4793548671","56207.0367472679","9.4","5.7"
"Uruguay","URY","6360.38252638167","21115.1266378707","20.6","8"
"Uzbekistan","UZB","1984.90340654174","6069.20979092081","59.4","22.9"
"Vanuatu","VUT","1647.68903580596","2988.47194446138","29.2","23.6"
"Vietnam","VNM","970.235652440424","6034.25994918754","36.7","17.6"
"Yemen, Rep.","YEM","2150.41640378875","2811.99956047372","88.4","43.2"
"Zambia","ZMB","1513.66871846388","3861.98922882366","109.7","44.8"
"Zimbabwe","ZWE","1675.80668134508","2013.16711664207","50.3","42"
